token_context,word_context,seg_context,sent_cotext,label
"['Thesetranslationsgaverisetoanumberofautomaticallyconstructedlinguisticresources:()theoriginal(,target)phrasaltranslationpairs,(2)themarkerlexicon,(3)thegen11ThanksaretheanonymousreviewersforpointingoutthatourwEBMTsystem,seededwithinputfrommultipletranslationsystems,withapostvalidationprocessviatheWeb(amountingtoann-gramtargetlanguagemodel),ineffectformsamultiengineMTsystemasdescribedby #TAUTHOR_TAG, #AUTHOR_TAG,and #AUTHOR_TAG.']","['Thesetranslationsgaverisetoanumberofautomaticallyconstructedlinguisticresources:()theoriginal(,target)phrasaltranslationpairs,(2)themarkerlexicon,(3)thegen11ThanksaretheanonymousreviewersforpointingoutthatourwEBMTsystem,seededwithinputfrommultipletranslationsystems,withapostvalidationprocessviatheWeb(amountingtoann-gramtargetlanguagemodel),ineffectformsamultiengineMTsystemasdescribedby #TAUTHOR_TAG, #AUTHOR_TAG,and #AUTHOR_TAG.']","['Thesetranslationsgaverisetoanumberofautomaticallyconstructedlinguisticresources:()theoriginal(,target)phrasaltranslationpairs,(2)themarkerlexicon,(3)thegen11ThanksaretheanonymousreviewersforpointingoutthatourwEBMTsystem,seededwithinputfrommultipletranslationsystems,withapostvalidationprocessviatheWeb(amountingtoann-gramtargetlanguagemodel),ineffectformsamultiengineMTsystemasdescribedby #TAUTHOR_TAG, #AUTHOR_TAG,and #AUTHOR_TAG.']","['Thesetranslationsgaverisetoanumberofautomaticallyconstructedlinguisticresources:(1)theoriginal(source,target)phrasaltranslationpairs,(2)themarkerlexicon,(3)thegen11ThanksareduetooneoftheanonymousreviewersforpointingoutthatourwEBMTsystem,seededwithinputfrommultipletranslationsystems,withapostvalidationprocessviatheWeb(amountingtoann-gramtargetlanguagemodel),ineffectformsamultiengineMTsystemasdescribedby #TAUTHOR_TAG, #AUTHOR_TAG,and #AUTHOR_TAG.']",1
"['alignments', 'a', 'Kay', ' #TAUTHOR_TAGattempttotranslatetechnicaltermsusingwordrelationmatrices,althoughtheresourcefromwhichsuchrelationsarederivedisapairofnonparallelcorpora.', '', '', '', '', '', '']","['alignments', 'a', 'Kay', ' #TAUTHOR_TAGattempttotranslatetechnicaltermsusingwordrelationmatrices,althoughtheresourcefromwhichsuchrelationsarederivedisapairofnonparallelcorpora.', '', '', '', '', '', '']","['entialalignments', '', 'Kay', ' #TAUTHOR_TAGattempttotranslatetechnicaltermsusingwordrelationmatrices,althoughtheresourcefromwhichsuchrelationsarederivedisapairofnonparallelcorpora.', '', '', '', '', '', '']","['', '', '', ' #TAUTHOR_TAGattempttotranslatetechnicaltermsusingwordrelationmatrices,althoughtheresourcefromwhichsuchrelationsarederivedisapairofnonparallelcorpora.', '', '', '', '', '', '']",0
"['â\x80¢Learnability #TAUTHOR_TAGâ\x80¢Textgeneration(Hovy1988;Milosavljevic,Tulloch,andDale1996)â\x80¢Speechgeneration(RaynerandCarter1997)â\x80¢Localization(SchÂ¨aler1996)']","['â\x80¢Learnability #TAUTHOR_TAGâ\x80¢Textgeneration(Hovy1988;Milosavljevic,Tulloch,andDale1996)â\x80¢Speechgeneration(RaynerandCarter1997)â\x80¢Localization(SchÂ¨aler1996)']","['â\x80¢Learnability #TAUTHOR_TAGâ\x80¢Textgeneration(Hovy1988;Milosavljevic,Tulloch,andDale1996)â\x80¢Speechgeneration(RaynerandCarter1997)â\x80¢Localization(SchÂ¨aler1996)']","['â\x80¢Learnability #TAUTHOR_TAGâ\x80¢Textgeneration(Hovy1988;Milosavljevic,Tulloch,andDale1996)â\x80¢Speechgeneration(RaynerandCarter1997)â\x80¢Localization(SchÂ¨aler1996)']",0
"['', 'from,targetalignments,patternsarecomputedfromthederivedchunksbymeansthealgorithmdescribedabove,thepatternsin(26)arederivedfromthechunksin(25):manyotherresearchersalsotrytoextractgeneralizedtemplates.', ' #AUTHOR_TAGgenerateasetofpatterns.', ' #AUTHOR_TAGcombineslexicalanddependencymappingstoformhisgeneralizations.', 'OthersimilarapproachesincludethoseofCicekliandGÂ¨uvenir(1996), #TAUTHOR_TAG, #AUTHOR_TAG,and #AUTHOR_TAG,interalia.']","['', 'fromsource,targetalignments,patternsarecomputedfromthederivedchunksbymeansthealgorithmdescribedabove,thepatternsin(26)arederivedfromthechunksin(25):manyotherresearchersalsotrytoextractgeneralizedtemplates.', ' #AUTHOR_TAGgenerateasetofpatterns.', ' #AUTHOR_TAGcombineslexicalanddependencymappingstoformhisgeneralizations.', 'OthersimilarapproachesincludethoseofCicekliandGÂ¨uvenir(1996), #TAUTHOR_TAG, #AUTHOR_TAG,and #AUTHOR_TAG,interalia.']","['', 'from,targetalignments,patternsarecomputedfromthederivedchunksbymeansthealgorithmdescribedabove,thepatternsin(26)arederivedfromthechunksin(25):manyotherresearchersalsotrytoextractgeneralizedtemplates.', ' #AUTHOR_TAGgenerateasetoftranslationpatterns.', ' #AUTHOR_TAGcombineslexicalanddependencymappingstoformhisgeneralizations.', 'OthersimilarapproachesincludethoseofCicekliandGÂ¨uvenir(1996), #TAUTHOR_TAG, #AUTHOR_TAG,and #AUTHOR_TAG,interalia.']","['', 'Oncechunksarederivedfromsource,targetalignments,patternsarecomputedfromthederivedchunksbymeansofthefollowingalgorithm:""foreachpairofchunkpairsUsingthealgorithmdescribedabove,thepatternsin(26)arederivedfromthechunksin(25):Ofcourse,manyotherresearchersalsotrytoextractgeneralizedtemplates.', '', ' #AUTHOR_TAGcombineslexicalanddependencymappingstoformhisgeneralizations.', 'OthersimilarapproachesincludethoseofCicekliandGÂ¨uvenir(1996), #TAUTHOR_TAG, #AUTHOR_TAG,and #AUTHOR_TAG,interalia.']",0
"['â\x80�Learnability(ZernikandDyer1987)â\x80¢Textgeneration #TAUTHOR_TAG;Milosavljevic,Tulloch,andDale1996)â\x80¢Speechgeneration(RaynerandCarter1997)â\x80¢Localization(SchÂ¨aler1996)']","['â\x80¢Learnability(ZernikandDyer1987)â\x80¢Textgeneration #TAUTHOR_TAG;Milosavljevic,Tulloch,andDale1996)â\x80¢Speechgeneration(RaynerandCarter1997)â\x80¢Localization(SchÂ¨aler1996)']","['â\x80¢Learnability(ZernikandDyer1987)â\x80¢Textgeneration #TAUTHOR_TAG;Milosavljevic,Tulloch,andDale1996)â\x80¢Speechgeneration(RaynerandCarter1997)â\x80¢Localization(SchÂ¨aler1996)']","['â\x80¢Learnability(ZernikandDyer1987)â\x80¢Textgeneration #TAUTHOR_TAG;Milosavljevic,Tulloch,andDale1996)â\x80¢Speechgeneration(RaynerandCarter1997)â\x80¢Localization(SchÂ¨aler1996)']",0
"['Whentranslatedphraseshavebeenretrievedforeachchunkoftheinputstring,theymustthenbecombinedtoproduceanoutputstring.', '', 'Notethatthisensuresthatgreaterimportanceisattributedtolongerchunks,asisusualinmostEBMTsystems(cfXXX #TAUTHOR_TAG;VealeandWay1997;Carl1999).7']","['Whentranslatedphraseshavebeenretrievedforeachchunkoftheinputstring,theymustthenbecombinedtoproduceanoutputstring.', '', 'Notethatthisensuresthatgreaterimportanceisattributedtolongerchunks,asisusualinmostEBMTsystems(cfXXX #TAUTHOR_TAG;VealeandWay1997;Carl1999).7']","['Whentranslatedphraseshavebeenretrievedforeachchunkoftheinputstring,theymustthenbecombinedtoproduceanoutputstring.', '', 'Notethatthisensuresthatgreaterimportanceisattributedtolongerchunks,asisusualinmostEBMTsystems(cfXXX #TAUTHOR_TAG;VealeandWay1997;Carl1999).7']","['Whentranslatedphraseshavebeenretrievedforeachchunkoftheinputstring,theymustthenbecombinedtoproduceanoutputstring.', '', 'Notethatthisensuresthatgreaterimportanceisattributedtolongerchunks,asisusualinmostEBMTsystems(cfXXX #TAUTHOR_TAG;VealeandWay1997;Carl1999).7']",0
"[""quiteashortspaceoftime,translationmemory(TM)systemshavebecomeaveryusefultoolinthetranslator'sarmory."", 'TMsystemsd', '', 'Fromthisdescription,itshouldbeclearthatTMsystemsdonottranslate:Indeed,someresearchersconsiderthemtobelittlemorethanasearch-and-replaceengine,albeitarathersophisticatedone #TAUTHOR_TAG.']","[""quiteashortspaceoftime,translationmemory(TM)systemshavebecomeaveryusefultoolinthetranslator'sarmory."", 'TMsystems', '', 'Fromthisdescription,itshouldbeclearthatTMsystemsdonottranslate:Indeed,someresearchersconsiderthemtobelittlemorethanasearch-and-replaceengine,albeitarathersophisticatedone #TAUTHOR_TAG.']","[""quiteashortspaceoftime,translationmemory(TM)systemshavebecomeaveryusefultoolinthetranslator'sarmory."", 'TMsystemsd', '', 'Fromthisdescription,itshouldbeclearthatTMsystemsdonottranslate:Indeed,someresearchersconsiderthemtobelittlemorethanasearch-and-replaceengine,albeitarathersophisticatedone #TAUTHOR_TAG.']","[""Inquiteashortspaceoftime,translationmemory(TM)systemshavebecomeaveryusefultoolinthetranslator'sarmory."", '', '', 'Fromthisdescription,itshouldbeclearthatTMsystemsdonottranslate:Indeed,someresearchersconsiderthemtobelittlemorethanasearch-and-replaceengine,albeitarathersophisticatedone #TAUTHOR_TAG.']",0
"['', '', '', '', '', ' #TAUTHOR_TAGuseataggedparallelcorpustoextracttranslationallyequivalentEnglish-Greekclausesonthebasisofwordoccurrenceandco-occurrenceprobabilities.', 'Therespectivelengthsoftheputativealignmentsintermsofcharactersisalsoanimportantfactor.', '', '', '']","['', '', '', '', '', ' #TAUTHOR_TAGuseataggedparallelcorpustoextracttranslationallyequivalentEnglish-Greekclausesonthebasisofwordoccurrenceandco-occurrenceprobabilities.', 'Therespectivelengthsoftheputativealignmentsintermsofcharactersisalsoanimportantfactor.', '', '', '']","['', '', '', '', '', ' #TAUTHOR_TAGuseataggedparallelcorpustoextracttranslationallyequivalentEnglish-Greekclausesonthebasisofwordoccurrenceandco-occurrenceprobabilities.', 'Therespectivelengthsoftheputativealignmentsintermsofcharactersisalsoanimportantfactor.', '', '', '']","['', '', '', '', '', ' #TAUTHOR_TAGuseataggedparallelcorpustoextracttranslationallyequivalentEnglish-Greekclausesonthebasisofwordoccurrenceandco-occurrenceprobabilities.', 'Therespectivelengthsoftheputativealignmentsintermsofcharactersisalsoanimportantfactor.', '', '', '']",0
"['\x80�(oes198�monolingualgrammarinduction(Juola1998)â\x80¢grammaroptimization(Juola1994)â\x80¢insightsintouniversalgrammar(Juola1998)â\x80¢machinetranslation(Juola1994,1997; #TAUTHOR_TAG;Gough,Way,andHearne2002)']","['(1983monolingualgrammarinduction(Juola1998)â\x80¢grammaroptimization(Juola1994)â\x80¢insightsintouniversalgrammar(Juola1998)â\x80¢machinetranslation(Juola1994,1997; #TAUTHOR_TAG;Gough,Way,andHearne2002)']","['\x80�(oes�monolingualgrammarinduction(Juola1998)â\x80¢grammaroptimization(Juola1994)â\x80¢insightsintouniversalgrammar(Juola1998)â\x80¢machinetranslation(Juola1994,1997; #TAUTHOR_TAG;Gough,Way,andHearne2002)']","['â\x80¢languagelearning(Green1979;MoriandMoeser1983;Morgan,Meier,andNewport1989)â\x80¢monolingualgrammarinduction(Juola1998)â\x80¢grammaroptimization(Juola1994)â\x80¢insightsintouniversalgrammar(Juola1998)â\x80¢machinetranslation(Juola1994,1997; #TAUTHOR_TAG;Gough,Way,andHearne2002)']",0
"['â\x80¢languagelearning #TAUTHOR_TAG;MoriandMoeser1983;Morgan,Meier,andNewport1989)â\x80¢monolingualgrammarinduction(Juola1998)â\x80¢grammaroptimization(Juola1994)â\x80¢insightsintouniversalgrammar(Juola1998)â\x80¢machinetranslation(Juola1994,1997;aleandWay1997earne2002)']","['â\x80¢languagelearning #TAUTHOR_TAG;MoriandMoeser1983;Morgan,Meier,andNewport1989)â\x80¢monolingualgrammarinduction(Juola1998)â\x80¢grammaroptimization(Juola1994)â\x80¢insightsintouniversalgrammar(Juola1998)â\x80¢machinetranslation(Juola1994,1997;VealeandWay1997Hearne2002)']","['â\x80¢languagelearning #TAUTHOR_TAG;MoriandMoeser1983;Morgan,Meier,andNewport1989)â\x80¢monolingualgrammarinduction(Juola1998)â\x80¢grammaroptimization(Juola1994)â\x80¢insightsintouniversalgrammar(Juola1998)â\x80¢machinetranslation(Juola1994,1997;aleandWay1997earne2002)']","['â\x80¢languagelearning #TAUTHOR_TAG;MoriandMoeser1983;Morgan,Meier,andNewport1989)â\x80¢monolingualgrammarinduction(Juola1998)â\x80¢grammaroptimization(Juola1994)â\x80¢insightsintouniversalgrammar(Juola1998)â\x80¢machinetranslation(Juola1994,1997;VealeandWay1997;Gough,Way,andHearne2002)']",0
