token_context,word_context,seg_context,sent_cotext,label
"['-basedrecommendersystems[15]relyonapre-existingdomainknowledgetosuggestitemsmoresimilartotheonesthattheuserseemstolike.', 'Theyusuallygenerateusermodelsthatdescribeuserinterestsaccordingtoasetoffeatures #TAUTHOR_TAG.', 'Withtheadvent']","['-basedrecommendersystems[15]relyonapre-existingdomainknowledgetosuggestitemsmoresimilartotheonesthattheuserseemstolike.', 'Theyusuallygenerateusermodelsthatdescribeuserinterestsaccordingtoasetoffeatures #TAUTHOR_TAG.', 'Withtheadvent']","['-basedrecommendersystems[15]relyonapre-existingdomainknowledgetosuggestitemsmoresimilartotheonesthattheuserseemstolike.', 'Theyusuallygenerateusermodelsthatdescribeuserinterestsaccordingtoasetoffeatures #TAUTHOR_TAG.', 'Withtheadvent']","['-basedrecommendersystems[15]relyonapre-existingdomainknowledgetosuggestitemsmoresimilartotheonesthattheuserseemstolike.', 'Theyusuallygenerateusermodelsthatdescribeuserinterestsaccordingtoasetoffeatures #TAUTHOR_TAG.', 'WiththeadventoftheSemanticWeb,severalrecommendersystemsstartedtoadoptontologiesforrepresentingbothuserinterestsanditems[17].', '']",5
"[']isalarge-scaleandgranularontologyofresearchtopicsthatwascreatedautomaticallybyrunningtheKlink-2algorithm[1]ontheRexploredataset #TAUTHOR_TAG.', 'Thisconsistsofabout16millionpublications,primarilyinthefieldofComputerScience.', 'TheKlink-2algorithmcombinessemantictechnologies,machinelearning,andbackgroundknowledgefromanumberofwebsources,']","['ComputerScienceOntology(CSO)[3]isalarge-scaleandgranularontologyofresearchtopicsthatwascreatedautomaticallybyrunningtheKlink-2algorithm[1]ontheRexploredataset #TAUTHOR_TAG.', 'Thisconsistsofabout16millionpublications,primarilyinthefieldofComputerScience.', 'TheKlink-2algorithmcombinessemantictechnologies,machinelearning,andbackgroundknowledgefromanumberofwebsources,']","['ComputerScienceOntology(CSO)[3]isalarge-scaleandgranularontologyofresearchtopicsthatwascreatedautomaticallybyrunningtheKlink-2algorithm[1]ontheRexploredataset #TAUTHOR_TAG.', 'Thisconsistsofabout16millionpublications,primarilyinthefieldofComputerScience.', 'TheKlink-2algorithmcombinessemantictechnologies,machinelearning,andbackgroundknowledgefromanumberofwebsources,including']","['ComputerScienceOntology(CSO)[3]isalarge-scaleandgranularontologyofresearchtopicsthatwascreatedautomaticallybyrunningtheKlink-2algorithm[1]ontheRexploredataset #TAUTHOR_TAG.', 'Thisconsistsofabout16millionpublications,primarilyinthefieldofComputerScience.', 'TheKlink-2algorithmcombinessemantictechnologies,machinelearning,andbackgroundknowledgefromanumberofwebsources,includingDBpedia,callsforpapers,andwebpages,toidentifyresearchtopicsandtheirrelationshipsfromagivencorpusofpublications.', '']",0
"['.', 'Inordertodoso,wecharacterizedallSNpublicationsaccordingtotheirassociatedresearchtopicsbyexploitingtheComputerScienceOntology(CSO),alarge-scaleautomaticallygeneratedtaxonomyofresearchareas #TAUTHOR_TAG.', '']","['products.', 'Inordertodoso,wecharacterizedallSNpublicationsaccordingtotheirassociatedresearchtopicsbyexploitingtheComputerScienceOntology(CSO),alarge-scaleautomaticallygeneratedtaxonomyofresearchareas #TAUTHOR_TAG.', '']","['', 'Inordertodoso,wecharacterizedallSNpublicationsaccordingtotheirassociatedresearchtopicsbyexploitingtheComputerScienceOntology(CSO),alarge-scaleautomaticallygeneratedtaxonomyofresearchareas #TAUTHOR_TAG.', '']","['thispaper,wepresentSmartBookRecommender(SBR)2,anontology-basedrecommendersystemdevelopedbyTheOpenUniversity(OU)incollaborationwithSpringerNature(SN)forsupportingtheirComputerScienceeditorialteaminselectingproductstomarketatspecificvenues.', 'SBRrecommendsbooks,journals,andproceedingsbytakingadvantageofasemanticallyenhancedrepresentationofabout27Keditorialproducts.', 'Inordertodoso,wecharacterizedallSNpublicationsaccordingtotheirassociatedresearchtopicsbyexploitingtheComputerScienceOntology(CSO),alarge-scaleautomaticallygeneratedtaxonomyofresearchareas #TAUTHOR_TAG.', 'Furthermore,SBRallowsuserstoinvestigatewhyacertainpublicationwassuggestedbymeansofaninteractivegraphviewthatcomparesthetopicsofthesuggestedpublicationwiththosecharacterizingtheinputconference']",0
"['.', 'ThisAPIsupportsanumberofapplications,includingSmartBookRecommender,SmartTopicMiner[5],theTechnology-TopicFramework #TAUTHOR_TAG,asystemthatforecaststhepropagationoftechnologiesacrossresearchcommunities,andthePragmaticOntologyEvolutionFramework[7],anapproachtoontologyevolutionthatisabletoselectnewconceptson']","['CSO.', 'ThisAPIsupportsanumberofapplications,includingSmartBookRecommender,SmartTopicMiner[5],theTechnology-TopicFramework #TAUTHOR_TAG,asystemthatforecaststhepropagationoftechnologiesacrossresearchcommunities,andthePragmaticOntologyEvolutionFramework[7],anapproachtoontologyevolutionthatisabletoselectnewconceptson']","['.', 'ThisAPIsupportsanumberofapplications,includingSmartBookRecommender,SmartTopicMiner[5],theTechnology-TopicFramework #TAUTHOR_TAG,asystemthatforecaststhepropagationoftechnologiesacrossresearchcommunities,andthePragmaticOntologyEvolutionFramework[7],anapproachtoontologyevolutionthatisabletoselectnewconceptson']","['', 'ThisAPIsupportsanumberofapplications,includingSmartBookRecommender,SmartTopicMiner[5],theTechnology-TopicFramework #TAUTHOR_TAG,asystemthatforecaststhepropagationoftechnologiesacrossresearchcommunities,andthePragmaticOntologyEvolutionFramework[7],anapproachtoontologyevolutionthatisabletoselectnewconceptsonthebasisoftheircontributiontospecificcomputationaltasks']",0
"[')Itrepresentsjournals,books,andconferencesaccordingtothemetadataoftheirchapters/articlesandusestheSmartTopicAPI #TAUTHOR_TAGtocharacterizeeachofthemwithasemanticallyenhancedtopicvector']","[')Itrepresentsjournals,books,andconferencesaccordingtothemetadataoftheirchapters/articlesandusestheSmartTopicAPI #TAUTHOR_TAGtocharacterizeeachofthemwithasemanticallyenhancedtopicvector']","[')Itrepresentsjournals,books,andconferencesaccordingtothemetadataoftheirchapters/articlesandusestheSmartTopicAPI #TAUTHOR_TAGtocharacterizeeachofthemwithasemanticallyenhancedtopicvector']","[')Itrepresentsjournals,books,andconferencesaccordingtothemetadataoftheirchapters/articlesandusestheSmartTopicAPI #TAUTHOR_TAGtocharacterizeeachofthemwithasemanticallyenhancedtopicvector']",5
"[' #TAUTHOR_TAGproposeahybridrecommendationmodelinwhichuserpreferencesaredescribedintermsofsemanticconceptsdefinedindomainontologies.', '']","[' #TAUTHOR_TAGproposeahybridrecommendationmodelinwhichuserpreferencesaredescribedintermsofsemanticconceptsdefinedindomainontologies.', '']","[', #TAUTHOR_TAGproposeahybridrecommendationmodelinwhichuserpreferencesaredescribedintermsofsemanticconceptsdefinedindomainontologies.', '']","['', 'Finally,Cantadoretal.', 'Finally, #TAUTHOR_TAGproposeahybridrecommendationmodelinwhichuserpreferencesaredescribedintermsofsemanticconceptsdefinedindomainontologies.', '']",1
"['supportsearchforscientificpublications.', 'Colombo-Mendozaetal #TAUTHOR_TAGproposeRecomMetz,acontext-awaremobilerecommendersystembasedonSemanticWebtechnologies.', 'Thissystemintroducedsomeuniquefeatures,suchasthecompositestructureoftheitemsandtheintegrationoftemporalandcrowdfactorsintoacontextawaremodel.', '']","['supportsearchforscientificpublications.', 'Colombo-Mendozaetal #TAUTHOR_TAGproposeRecomMetz,acontext-awaremobilerecommendersystembasedonSemanticWebtechnologies.', 'Thissystemintroducedsomeuniquefeatures,suchasthecompositestructureoftheitemsandtheintegrationoftemporalandcrowdfactorsintoacontextawaremodel.', '']","['supportsearchforscientificpublications.', 'Colombo-Mendozaetal #TAUTHOR_TAGproposeRecomMetz,acontext-awaremobilerecommendersystembasedonSemanticWebtechnologies.', 'Thissystemintroducedsomeuniquefeatures,suchasthecompositestructureoftheitemsandtheintegrationoftemporalandcrowdfactorsintoacontextawaremodel.', '']","['', 'Birukouetal[21]presentanagent-basedsystemthatlearnsthepreferencesofexperiencedresearchersandprovidesspecificsuggestionstosupportsearchforscientificpublications.', 'Colombo-Mendozaetal #TAUTHOR_TAGproposeRecomMetz,acontext-awaremobilerecommendersystembasedonSemanticWebtechnologies.', 'Thissystemintroducedsomeuniquefeatures,suchasthecompositestructureoftheitemsandtheintegrationoftemporalandcrowdfactorsintoacontextawaremodel.', '']",1
"['', 'Razmeritaetal.', ' #TAUTHOR_TAGdescribeOntobUM,anontology-basedrecommenderthatintegratesthreeontologies:', 'i)theuserontology,whichstructuresthecharacteristicsofusersandtheirrelationships,', 'ii)thedomainontology,whichdefinesthedomainconceptsandtheirrelationships,and', 'iii)thelogontology,whichdefinesthesemanticsoftheuserinteractionswiththesystem.', '']","['', 'Razmeritaetal.', ' #TAUTHOR_TAGdescribeOntobUM,anontology-basedrecommenderthatintegratesthreeontologies:', 'i)theuserontology,whichstructuresthecharacteristicsofusersandtheirrelationships,', 'ii)thedomainontology,whichdefinesthedomainconceptsandtheirrelationships,and', 'iii)thelogontology,whichdefinesthesemanticsoftheuserinteractionswiththesystem.', '']","['', 'Razmeritaetal.', ' #TAUTHOR_TAGdescribeOntobUM,anontology-basedrecommenderthatintegratesthreeontologies:', 'i)theuserontology,whichstructuresthecharacteristicsofusersandtheirrelationships,', 'ii)thedomainontology,whichdefinesthedomainconceptsandtheirrelationships,and', 'iii)thelogontology,whichdefinesthesemanticsoftheuserinteractionswiththesystem.', '']","['', 'Razmeritaetal.', ' #TAUTHOR_TAGdescribeOntobUM,anontology-basedrecommenderthatintegratesthreeontologies:', 'i)theuserontology,whichstructuresthecharacteristicsofusersandtheirrelationships,', 'ii)thedomainontology,whichdefinesthedomainconceptsandtheirrelationships,and', 'iii)thelogontology,whichdefinesthesemanticsoftheuserinteractionswiththesystem.', '']",1
"['describeahybridrecommendersystemthatexploitontologiesforincreasingtheaccuracyoftheprofilingprocessandhencetheusefulnessoftherecommendations.', 'Thiagarajanetal.', 'Thiagarajanetal. #TAUTHOR_TAGuseadifferentstrategybyrepresentinguserprofilesasbags-ofwordsandweighingeachtermaccordingtotheuserinterestsderivedfromadomainontology.', '']","['describeahybridrecommendersystemthatexploitontologiesforincreasingtheaccuracyoftheprofilingprocessandhencetheusefulnessoftherecommendations.', 'Thiagarajanetal.', 'Thiagarajanetal. #TAUTHOR_TAGuseadifferentstrategybyrepresentinguserprofilesasbags-ofwordsandweighingeachtermaccordingtotheuserinterestsderivedfromadomainontology.', '']","['describeahybridrecommendersystemthatexploitontologiesforincreasingtheaccuracyoftheprofilingprocessandhencetheusefulnessoftherecommendations.', 'Thiagarajanetal.', 'Thiagarajanetal. #TAUTHOR_TAGuseadifferentstrategybyrepresentinguserprofilesasbags-ofwordsandweighingeachtermaccordingtotheuserinterestsderivedfromadomainontology.', '']","['', 'Middletonetal.', '[18]describeahybridrecommendersystemthatexploitontologiesforincreasingtheaccuracyoftheprofilingprocessandhencetheusefulnessoftherecommendations.', 'Thiagarajanetal.', 'Thiagarajanetal. #TAUTHOR_TAGuseadifferentstrategybyrepresentinguserprofilesasbags-ofwordsandweighingeachtermaccordingtotheuserinterestsderivedfromadomainontology.', '']",5
"['theabilitytoexploitthedomainknowledgeforimprovingtheusermodellingprocess,', 'ii)theabilitytoshareandreusesystemknowledge,andiii)thealleviationofthecold-startanddatasparsityproblems[16, #TAUTHOR_TAG']","['skos:broaderGenericconceptsinCSO(e.g.,SemanticWeb).', 'Themainadvantagesofthesesolutionsare', 'i)theabilitytoexploitthedomainknowledgeforimprovingtheusermodellingprocess,', 'ii)theabilitytoshareandreusesystemknowledge,andiii)thealleviationofthecold-startanddatasparsityproblems[16, #TAUTHOR_TAG']","['theabilitytoexploitthedomainknowledgeforimprovingtheusermodellingprocess,', 'ii)theabilitytoshareandreusesystemknowledge,andiii)thealleviationofthecold-startanddatasparsityproblems[16, #TAUTHOR_TAG']","['', 'Themainadvantagesofthesesolutionsare', 'i)theabilitytoexploitthedomainknowledgeforimprovingtheusermodellingprocess,', 'ii)theabilitytoshareandreusesystemknowledge,andiii)thealleviationofthecold-startanddatasparsityproblems[16, #TAUTHOR_TAG']",0
