token_context,word_context,seg_context,sent_cotext,label
"['These translations gave rise to a number of automatically constructed linguistic resources (  Thanks are due to one of the anonymous reviewers for pointing out that our wEBMT system , seeded with input from multiple translation systems , with a postvalidation process via the Web ( amounting to an n-gram target language model ) , in effect forms a multiengine MT system as described by #TAUTHOR_TAG , #AUTHOR_TAG , and #AUTHOR_TAG .']","['These translations gave rise to a number of automatically constructed linguistic resources ( 1 Thanks are due to one of the anonymous reviewers for pointing out that our wEBMT system , seeded with input from multiple translation systems , with a postvalidation process via the Web ( amounting to an n-gram target language model ) , in effect forms a multiengine MT system as described by #TAUTHOR_TAG , #AUTHOR_TAG , and #AUTHOR_TAG .']","['These translations gave rise to a number of automatically constructed linguistic resources (  are due to one of the anonymous reviewers for pointing out that our wEBMT system , seeded with input from multiple translation systems , with a postvalidation process via the Web ( amounting to an n-gram target language model ) , in effect forms a multiengine MT system as described by #TAUTHOR_TAG , #AUTHOR_TAG , and #AUTHOR_TAG .']","['These translations gave rise to a number of automatically constructed linguistic resources : ( 1 ) the original ( source , target ) phrasal translation pairs , ( 2 ) the marker lexicon , ( 3 ) the gen11 Thanks are due to one of the anonymous reviewers for pointing out that our wEBMT system , seeded with input from multiple translation systems , with a postvalidation process via the Web ( amounting to an n-gram target language model ) , in effect forms a multiengine MT system as described by #TAUTHOR_TAG , #AUTHOR_TAG , and #AUTHOR_TAG .']",1
"['ised', '', 'Kay and Rscheisen (1993) attempt to extract a bilingual dictionary a hybrid method of sentence and word alignment assumption the a', ' #TAUTHOR_TAG attempt to translate technical terms using word relation matrices , although the resource from which such relations are derived is a pair of nonparallel corpora .', 'replicates the work of Fung and McKeown with different language pairs using the simpler metric Levenshtein', '', '', '', '', '']","['premised', '', 'Kay and Röscheisen (1993) attempt to extract a bilingual dictionary a hybrid method of sentence and word alignment assumption the a', ' #TAUTHOR_TAG attempt to translate technical terms using word relation matrices , although the resource from which such relations are derived is a pair of nonparallel corpora .', 'replicates the work of Fung and McKeown with different language pairs using the simpler metric Levenshtein', '', '', '', '', '']","['', '', 'Kay and Rscheisen (1993) attempt to extract a bilingual dictionary using a hybrid method of sentence and word alignment the assumption', ' #TAUTHOR_TAG attempt to translate technical terms using word relation matrices , although the resource from which such relations are derived is a pair of nonparallel corpora .', 'replicates the work of Fung and McKeown with different language pairs using the simpler metric Levenshte', '', '', '', '', '']","['', '', 'Kay and Röscheisen (1993) attempt to extract a bilingual dictionary using a hybrid method of sentence and word alignment on the assumption that the source, target words have a similar distribution.', ' #TAUTHOR_TAG attempt to translate technical terms using word relation matrices , although the resource from which such relations are derived is a pair of nonparallel corpora .', ' #AUTHOR_TAG replicates the work of Fung and McKeown with different language pairs using the simpler metric of Levenshtein distance.', '', '', '', '', '']",0
"['â\x80¢ Learnability #TAUTHOR_TAG â\x80¢ Text generation ( Hovy 1988 ;osljic , Tulloch , and Dale 1996 )¢ Speech generation Ray Localization (¨er']","['â\x80¢ Learnability #TAUTHOR_TAG â\x80¢ Text generation ( Hovy 1988 ; , Tulloch , and Dale 1996 ) Speech generation Rayner Localization ( aler']","['â\x80¢ Learnability #TAUTHOR_TAG â\x80¢ Text generation ( Hovy 1988 ;osljic , Tulloch , and Dale 1996 )¢ Speech generation Ray Localization (er']","['â\x80¢ Learnability #TAUTHOR_TAG â\x80¢ Text generation ( Hovy 1988 ; Milosavljevic , Tulloch , and Dale 1996 ) â\x80¢ Speech generation ( Rayner and Carter 1997 ) â\x80¢ Localization ( Sch Â¨ aler 1996 )']",0
"['', 'are derived from, patterns are computed from the derived chunks means followingfor each pairs Using algorithm described above, the patterns in ( 26) are derived from the chunks in ( 25): Of, many other researchers to general', '', '', 'Other similar approaches include those of Cicekli and G Â¨ uvenir ( 1996 ) , #TAUTHOR_TAG , #AUTHOR_TAG , and #AUTHOR_TAG , inter alia .']","['', 'are derived from patterns are computed from the derived chunks means following ""for each pairs Using algorithm described above, the patterns in ( 26) are derived from the chunks in ( 25): Of course, many other researchers to generalized', '', '', 'Other similar approaches include those of Cicekli and G Â¨ uvenir ( 1996 ) , #TAUTHOR_TAG , #AUTHOR_TAG , and #AUTHOR_TAG , inter alia .']","['', 'are derived from are computed from the derived chunks means each pair chunk pairs Using the algorithm described above, the patterns in ( 26) are derived from the chunks in ( 25): Of, many other researchers to general', '', '', 'Other similar approaches include those of Cicekli and G Â¨ uvenir ( 1996 ) , #TAUTHOR_TAG , #AUTHOR_TAG , and #AUTHOR_TAG , inter alia .']","['', 'Once chunks are derived from source, target alignments, patterns are computed from the derived chunks by means of the following algorithm: ""for each pair of chunk pairs Using the algorithm described above, the patterns in ( 26) are derived from the chunks in ( 25): Of course, many other researchers also try to extract generalized templates.', '', '', 'Other similar approaches include those of Cicekli and G Â¨ uvenir ( 1996 ) , #TAUTHOR_TAG , #AUTHOR_TAG , and #AUTHOR_TAG , inter alia .']",0
"['â\x80¢ Learnability ( Zernik and Dyer 1987 ) â\x80¢ Text generation #TAUTHOR_TAG ; Milosavljevic , Tulloch , and Dale 1996 ) â¢ Speech generation Localization (¨er ']","['â\x80¢ Learnability ( Zernik and Dyer 1987 ) â\x80¢ Text generation #TAUTHOR_TAG ; Milosavljevic , Tulloch , and Dale 1996 ) â\x80¢ Speech generation Localization ( aler']","['â\x80¢ Learnability ( Zernik and Dyer 1987 ) â\x80¢ Text generation #TAUTHOR_TAG ; Milosavljevic , Tulloch , and Dale 1996 ) â¢ Speech generation Localization (er ']","['â\x80¢ Learnability ( Zernik and Dyer 1987 ) â\x80¢ Text generation #TAUTHOR_TAG ; Milosavljevic , Tulloch , and Dale 1996 ) â\x80¢ Speech generation ( Rayner and Carter 1997 ) â\x80¢ Localization ( Sch Â¨ aler 1996 )']",0
"['When translated phrases have been retrieved for each chunk of the input string, they must then be combined to produce an output string.', 'In TL sentence we multiply the weights of each chunk used in its construction.', 'Note that this ensures that greater importance is attributed to longer chunks , as is usual in most EBMT systems ( cfXXX #TAUTHOR_TAG ; Veale and Way 1997 ; Carl 1999 ) .7']","['When translated phrases have been retrieved for each chunk of the input string, they must then be combined to produce an output string.', 'In TL sentence we multiply the weights of each chunk used in its construction.', 'Note that this ensures that greater importance is attributed to longer chunks , as is usual in most EBMT systems ( cfXXX #TAUTHOR_TAG ; Veale and Way 1997 ; Carl 1999 ) .7']","['When translated phrases have been retrieved for each chunk of the input string, they must then be combined to produce an output string.', 'In we multiply the weights of each chunk used in its construction.', 'Note that this ensures that greater importance is attributed to longer chunks , as is usual in most EBMT systems ( cfXXX #TAUTHOR_TAG ; Veale and Way 1997 ; Carl 1999 ) .7']","['When translated phrases have been retrieved for each chunk of the input string, they must then be combined to produce an output string.', 'In order to calculate a ranking for each TL sentence produced, we multiply the weights of each chunk used in its construction.', 'Note that this ensures that greater importance is attributed to longer chunks , as is usual in most EBMT systems ( cfXXX #TAUTHOR_TAG ; Veale and Way 1997 ; Carl 1999 ) .7']",0
"['translation memory (TM systems have become a very useful tool in the translators arm.', 'systems store a set of', 'a new a for (zy', 'From this description , it should be clear that TM systems do not translate : Indeed , some researchers consider them to be little more than a search-and-replace engine , albeit a rather sophisticated one #TAUTHOR_TAG .']","[""translation memory (TM) systems have become a very useful tool in the translator's armory."", 'systems store a set of', 'a new a for (or', 'From this description , it should be clear that TM systems do not translate : Indeed , some researchers consider them to be little more than a search-and-replace engine , albeit a rather sophisticated one #TAUTHOR_TAG .']","["", translation memory (TM) systems have become a very useful tool in the translator's armory."", 'M systems store a set of', 'a new input string a search for (', 'From this description , it should be clear that TM systems do not translate : Indeed , some researchers consider them to be little more than a search-and-replace engine , albeit a rather sophisticated one #TAUTHOR_TAG .']","[""In quite a short space of time, translation memory (TM) systems have become a very useful tool in the translator's armory."", '', '', 'From this description , it should be clear that TM systems do not translate : Indeed , some researchers consider them to be little more than a search-and-replace engine , albeit a rather sophisticated one #TAUTHOR_TAG .']",0
"['', '', '', '', ' #AUTHOR_TAG replicates the work of Fung and McKeown with different language pairs using the simpler metric of Levenshtein distance.', ' #TAUTHOR_TAG use a tagged parallel corpus to extract translationally equivalent English-Greek clauses on the basis of word occurrence and co-occurrence probabilities .', 'lengths of', '', '', '']","['', '', '', '', ' #AUTHOR_TAG replicates the work of Fung and McKeown with different language pairs using the simpler metric of Levenshtein distance.', ' #TAUTHOR_TAG use a tagged parallel corpus to extract translationally equivalent English-Greek clauses on the basis of word occurrence and co-occurrence probabilities .', 'lengths of', '', '', '']","['', '', '', '', ' #AUTHOR_TAG replicates the work of Fung and McKeown with different language pairs using the simpler metric of Levenshtein distance.', ' #TAUTHOR_TAG use a tagged parallel corpus to extract translationally equivalent English-Greek clauses on the basis of word occurrence and co-occurrence probabilities .', 'of', '', '', '']","['', '', '', '', ' #AUTHOR_TAG replicates the work of Fung and McKeown with different language pairs using the simpler metric of Levenshtein distance.', ' #TAUTHOR_TAG use a tagged parallel corpus to extract translationally equivalent English-Greek clauses on the basis of word occurrence and co-occurrence probabilities .', '', '', '', '']",0
"['¢ language learning ( Green 1979 ; Mori and Moeser 1983 ; Morgan , Meier , and Newport 1989 )¢ monolingual grammar induction ( Juola 1998 ) â\x80¢ grammar optimization ( Juola 1994 )\x80¢ insights into universal grammar ( Juola 1998 ) â\x80¢ machine translation ( Juola 1994 , 1997 ; #TAUTHOR_TAG ; Gough , Way , and Hearne 2002 )']","['language learning ( Green 1979 ; Mori and Moeser 1983 ; Morgan , Meier , and Newport 1989 ) monolingual grammar induction ( Juola 1998 ) â\x80¢ grammar optimization ( Juola 1994 ) â\x80¢ insights into universal grammar ( Juola 1998 ) â\x80¢ machine translation ( Juola 1994 , 1997 ; #TAUTHOR_TAG ; Gough , Way , and Hearne 2002 )']","['¢ language learning ( Green 1979 ; Mori and Moeser 1983 ; Morgan , Meier , and Newport 1989 )¢ monolingual grammar induction ( Juola 1998 ) â\x80¢ grammar optimization ( Juola 1994 )\x80¢ insights into universal grammar ( Juola 1998 ) â\x80¢ machine translation ( Juola 1994 , 1997 ; #TAUTHOR_TAG ; Gough , Way , and Hearne 2002 )']","['â\x80¢ language learning ( Green 1979 ; Mori and Moeser 1983 ; Morgan , Meier , and Newport 1989 ) â\x80¢ monolingual grammar induction ( Juola 1998 ) â\x80¢ grammar optimization ( Juola 1994 ) â\x80¢ insights into universal grammar ( Juola 1998 ) â\x80¢ machine translation ( Juola 1994 , 1997 ; #TAUTHOR_TAG ; Gough , Way , and Hearne 2002 )']",0
"['â\x80¢ language learning #TAUTHOR_TAG ; Mori and Moeser 1983 ; Morgan , Meier , and Newport 1989 )\x80¢ monolingual grammar induction ( Juola 1998 ) â\x80¢ grammar optimization ( Ju 994 )¢ into universal grammar ( Ju']","['â\x80¢ language learning #TAUTHOR_TAG ; Mori and Moeser 1983 ; Morgan , Meier , and Newport 1989 ) â\x80¢ monolingual grammar induction ( Juola 1998 ) â\x80¢ grammar optimization ( Juola 1994 ) into universal grammar ( Juola']","['â\x80¢ language learning #TAUTHOR_TAG ; Mori and Moeser 1983 ; Morgan , Meier , and Newport 1989 )\x80¢ monolingual grammar induction ( Juola 1998 ) â\x80¢ grammar optimization ( Juola 1994 )¢ into universal grammar ( Ju']","['â\x80¢ language learning #TAUTHOR_TAG ; Mori and Moeser 1983 ; Morgan , Meier , and Newport 1989 ) â\x80¢ monolingual grammar induction ( Juola 1998 ) â\x80¢ grammar optimization ( Juola 1994 ) â\x80¢ insights into universal grammar ( Juola 1998 ) â\x80¢ machine translation ( Juola 1994 , 1997 ; Veale and Way 1997 ; Gough , Way , and Hearne 2002 )']",0
